0_position_0, 0_position_1, 0_velocity_0, 0_velocity_1, 0_total_force_0, 0_total_force_1, 0_ang_0, 1_position_0, 1_position_1, 1_velocity_0, 1_velocity_1, 1_total_force_0, 1_total_force_1, 1_ang_0, 2_position_0, 2_position_1, 2_velocity_0, 2_velocity_1, 2_total_force_0, 2_total_force_1, 2_ang_0, 3_position_0, 3_position_1, 3_velocity_0, 3_velocity_1, 3_total_force_0, 3_total_force_1, 3_ang_0
50.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0, 100.0, 0.0, 0.0, 141.421356237, -141.421356237, 0.0, 100.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0
50.0785674201, 50.0785674201, 4.71404520791, 4.71404520791, 141.421356237, 141.421356237, 0.785398163397, 99.9214325799, 50.0785674201, -4.71404520791, 4.71404520791, -141.421356237, 141.421356237, 2.35619449019, 50.0785674201, 99.9214325799, 4.71404520791, -4.71404520791, -570.399470157, 570.399470157, -0.785398163397, 99.9214325799, 99.9214325799, -4.71404520791, -4.71404520791, -141.421356237, -141.421356237, -2.35619449019
49.9188136659, 49.9188136659, -14.299270464, -14.299270464, -570.399470157, -570.399470157, -2.35619449019, 100.081186334, 49.9188136659, 14.299270464, -14.299270464, 570.399470157, -570.399470157, -0.785398163397, 49.9188136659, 100.081186334, -14.299270464, 14.299270464, 862.827407888, -862.827407888, 2.35619449019, 100.081186334, 100.081186334, 14.299270464, 14.299270464, 570.399470157, 570.399470157, 0.785398163397
49.921519877, 49.921519877, 14.4616431323, 14.4616431323, 862.827407888, 862.827407888, 0.785398163397, 100.078480123, 49.921519877, -14.4616431323, 14.4616431323, -862.827407888, 862.827407888, 2.35619449019, 49.921519877, 100.078480123, 14.4616431323, -14.4616431323, -580.147068082, 580.147068082, -0.785398163397, 100.078480123, 100.078480123, -14.4616431323, -14.4616431323, -862.827407888, -862.827407888, -2.35619449019
50.0812707214, 50.0812707214, -4.87659247045, -4.87659247045, -580.147068082, -580.147068082, -2.35619449019, 99.9187292786, 50.0812707214, 4.87659247045, -4.87659247045, 580.147068082, -580.147068082, -0.785398163397, 50.0812707214, 99.9187292786, -4.87659247045, 4.87659247045, 853.404729894, -853.404729894, 2.35619449019, 99.9187292786, 99.9187292786, 4.87659247045, 4.87659247045, 580.147068082, 580.147068082, 0.785398163397
50.3928313778, 50.3928313778, 23.5702318594, 23.5702318594, 853.404729894, 853.404729894, 0.785398163397, 99.6071686222, 50.3928313778, -23.5702318594, 23.5702318594, -853.404729894, 853.404729894, 2.35619449019, 50.3928313778, 99.6071686222, 23.5702318594, -23.5702318594, -589.255656809, 589.255656809, -0.785398163397, 99.6071686222, 99.6071686222, -23.5702318594, -23.5702318594, -853.404729894, -853.404729894, -2.35619449019
50.8511415194, 50.8511415194, 3.92837663241, 3.92837663241, -589.255656809, -589.255656809, 0.785398163397, 99.1488584806, 50.8511415194, -3.92837663241, 3.92837663241, 589.255656809, -589.255656809, 2.35619449019, 50.8511415194, 99.1488584806, 3.92837663241, -3.92837663241, -569.613801582, 569.613801582, -0.785398163397, 99.1488584806, 99.1488584806, -3.92837663241, -3.92837663241, 589.255656809, 589.255656809, -2.35619449019
50.6656352951, 50.6656352951, -15.058750087, -15.058750087, -569.613801582, -569.613801582, -2.35619449019, 99.3343647049, 50.6656352951, 15.058750087, -15.058750087, 569.613801582, -569.613801582, -0.785398163397, 50.6656352951, 99.3343647049, -15.058750087, 15.058750087, 863.586887511, -863.586887511, 2.35619449019, 99.3343647049, 99.3343647049, 15.058750087, 15.058750087, 569.613801582, 569.613801582, 0.785398163397
50.643447452, 50.643447452, 13.7274794967, 13.7274794967, 863.586887511, 863.586887511, 0.785398163397, 99.356552548, 50.643447452, -13.7274794967, 13.7274794967, -863.586887511, 863.586887511, 2.35619449019, 50.643447452, 99.356552548, 13.7274794967, -13.7274794967, -579.412904446, 579.412904446, -0.785398163397, 99.356552548, 99.356552548, -13.7274794967, -13.7274794967, -863.586887511, -863.586887511, -2.35619449019
50.7791340438, 50.7791340438, -5.58628398482, -5.58628398482, -579.412904446, -579.412904446, -2.35619449019, 99.2208659562, 50.7791340438, 5.58628398482, -5.58628398482, 579.412904446, -579.412904446, -0.785398163397, 50.7791340438, 99.2208659562, -5.58628398482, 5.58628398482, 854.114421409, -854.114421409, 2.35619449019, 99.2208659562, 99.2208659562, 5.58628398482, 5.58628398482, 579.412904446, 579.412904446, 0.785398163397
